Role,Name,Start,End
------Education------
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1806-01-02,1809-12-31
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1811-01-02,1811-12-31
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1816-01-02,1816-12-31
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1830-01-02,1831-12-31
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1833-01-02,1833-12-31
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1835-01-02,1835-12-31
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1844-01-02,1845-12-31
------African American------
African Americans,African Americans,1785-01-02,1785-12-31
African Americans,African Americans,1787-01-02,1787-12-31
African Americans,African Americans,1794-01-02,1794-12-31
African Americans,African Americans,1806-01-02,1807-12-31
African Americans,African Americans,1809-01-02,1822-12-31
African Americans,African Americans,1824-01-02,1829-12-31
African Americans,African Americans,1831-01-02,1847-12-31
------Health------
Health and Illness,Health and Illness,1779-01-02,1779-12-31
Health and Illness,Health and Illness,1782-01-02,1783-12-31
Health and Illness,Health and Illness,1785-01-02,1789-12-31
Health and Illness,Health and Illness,1791-01-02,1792-12-31
Health and Illness,Health and Illness,1794-01-02,1847-12-31
Recreation,Recreation,1779-01-02,1847-12-31
------Uncategorized------
American Revolution,American Revolution,1779-01-02,1782-12-31
American Revolution,American Revolution,1785-01-02,1786-12-31
American Revolution,American Revolution,1788-01-02,1788-12-31
American Revolution,American Revolution,1795-01-02,1797-12-31
American Revolution,American Revolution,1799-01-02,1801-12-31
American Revolution,American Revolution,1805-01-02,1805-12-31
American Revolution,American Revolution,1808-01-02,1811-12-31
American Revolution,American Revolution,1813-01-02,1822-12-31
American Revolution,American Revolution,1824-01-02,1826-12-31
American Revolution,American Revolution,1828-01-02,1847-12-31
Slave Rebellions,Slave Rebellions,1819-01-02,1819-12-31
------Migration------
Colonization Movements,Colonization Movements,1817-01-02,1829-12-31
Colonization Movements,Colonization Movements,1831-01-02,1833-12-31
Colonization Movements,Colonization Movements,1835-01-02,1839-12-31
Colonization Movements,Colonization Movements,1841-01-02,1845-12-31
Immigration,Immigration,1817-01-02,1820-12-31
------Law------
Supreme Court,Supreme Court,1803-01-02,1804-12-31
Supreme Court,Supreme Court,1806-01-02,1809-12-31
Supreme Court,Supreme Court,1811-01-02,1811-12-31
Supreme Court,Supreme Court,1818-01-02,1821-12-31
Supreme Court,Supreme Court,1823-01-02,1823-12-31
Supreme Court,Supreme Court,1826-01-02,1826-12-31
Supreme Court,Supreme Court,1828-01-02,1838-12-31
Supreme Court,Supreme Court,1840-01-02,1846-12-31
Emancipation,Emancipation,1819-01-02,1820-12-31
Emancipation,Emancipation,1822-01-02,1822-12-31
Emancipation,Emancipation,1826-01-02,1827-12-31
Emancipation,Emancipation,1831-01-02,1835-12-31
Emancipation,Emancipation,1837-01-02,1839-12-31
Emancipation,Emancipation,1843-01-02,1843-12-31
Emancipation,Emancipation,1847-01-02,1847-12-31
Fugitive Slave Laws,Fugitive Slave Laws,1820-01-02,1820-12-31
Fugitive Slave Laws,Fugitive Slave Laws,1822-01-02,1822-12-31
Fugitive Slave Laws,Fugitive Slave Laws,1838-01-02,1839-12-31
Fugitive Slave Laws,Fugitive Slave Laws,1841-01-02,1844-12-31
Nullification,Nullification,1820-01-02,1820-12-31
Nullification,Nullification,1830-01-02,1841-12-31
